Tm;W/L%;PS/G;PA/G;SRS;Seed;Rank_PS/G;Rank_PA/G;Rank_SRS;COACHES_Seasons_Franchise;COACHES_Seasons_Career;COACHES_RS_CA_W%;COACHES_RS_S_PCT;COACHES_RS_FR_PCT;COACHES_RS_CA_PCT;COACHES_PL_FR_PCT;COACHES_PL_CA_PCT;Age;ALL_STAR;Top3_PTS;Top10_PTS;Top30_PTS;Top3_AST;Top10_AST;Top30_AST;Top3_REB;Top10_REB;Top30_REB;Top3_FG;Top10_FG;Top30_FG;Top3_FG%;Top10_FG%;Top30_FG%;Top3_3P;Top10_3P;Top30_3P;Top3_3P%;Top10_3P%;Top30_3P%;Top3_FT;Top10_FT;Top30_FT;Top3_FT%;Top10_FT%;Top30_FT%;Top3_STL;Top10_STL;Top30_STL;Top3_BLK;Top10_BLK;Top30_BLK;Top3_PER;Top10_PER;Top30_PER;Top3_WS;Top10_WS;Top30_WS;Top3_WS/48;Top10_WS/48;Top30_WS/48;Top3_VORP;Top10_VORP;Top30_VORP;Top3_BPM;Top10_BPM;Top30_BPM;Top3_USG%;Top10_USG%;Top30_USG%;MOV;ORtg;DRtg;NRtg;MOV/A;ORtg/A;DRtg/A;NRtg/A;Rank_MOV;Rank_ORtg;Rank_DRtg;Rank_NRtg;Rank_MOV/A;Rank_ORtg/A;Rank_DRtg/A;Rank_NRtg/A
BOS;0,756;112,1;105,6;6,42;1;7;4;1;1;5;0,6;0,7560975609756098;0,7560975609756098;0,5995145631067961;0,6521739130434783;0,5;27,5;3;0;1;1;0;0;1;0;2;3;0;1;2;0;0;1;0;0;2;0;0;2;0;0;1;0;3;4;0;0;2;0;0;2;1;1;3;1;3;3;1;2;3;1;1;3;1;1;2;0;0;1;6,56;111,29;104,76;6,53;6,42;111,72;105,5;6,22;1;5;10;1;1;2;11;1
LAL;0,659;115,6;111,8;3,32;2;4;13;5;3;3;0,689;0,6585365853658537;0,6893617021276596;0,6893617021276596;0,68;0,68;27,384615384615383;2;0;0;1;1;1;2;0;0;0;0;0;1;0;2;5;1;1;1;0;0;1;0;0;1;0;0;0;0;1;2;0;1;1;0;2;2;0;1;2;0;1;2;1;1;3;1;1;3;0;1;1;3,76;111,21;107,62;3,59;3,32;110,51;107,51;3,0;4;6;15;5;5;6;14;6
PHI;0,634;107,8;105,6;2,39;3;15;4;7;7;7;0,697;0,6341463414634146;0,6971830985915493;0,6971830985915493;0,6304347826086957;0,6304347826086957;27,0;3;0;0;3;0;0;2;1;1;1;0;0;2;0;0;1;0;0;1;0;0;2;1;1;3;0;0;0;0;1;3;0;1;4;0;2;2;0;1;3;0;1;4;1;1;3;1;2;3;0;0;3;2,2;107,13;105,07;2,05;2,39;107,54;105,46;2,08;7;14;11;7;7;14;10;7
MIL;0,61;105,7;101,5;4,04;4;17;1;2;8;8;0,586;0,6097560975609756;0,5862068965517241;0,5862068965517241;0,48148148148148145;0,48148148148148145;28,333333333333332;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;2;0;0;2;0;0;1;0;0;2;1;1;2;0;1;3;0;1;2;0;2;3;0;0;0;4,16;108,25;103,77;4,48;4,03;108,57;104,41;4,16;2;12;9;2;2;9;9;2
DET;0,598;117,1;113,5;3,52;5;3;15;4;1;2;0,472;0,5975609756097561;0,5975609756097561;0,4715447154471545;0,4;0,4;25,75;3;0;0;2;1;1;1;0;1;1;0;0;2;0;0;1;0;0;1;0;0;1;0;1;2;0;1;3;1;1;1;0;0;0;0;0;2;0;1;2;0;1;3;0;1;2;0;1;1;0;0;2;3,59;111,82;108,37;3,45;3,52;112,45;109,24;3,22;5;1;20;6;4;1;26;4
POR;0,585;113,1;109,6;3,13;6;6;9;6;8;16;0,536;0,5853658536585366;0,5655487804878049;0,5358231707317073;0,5217391304347826;0,4470588235294118;25,09090909090909;1;0;0;1;0;0;2;0;0;2;0;0;1;0;1;2;0;0;1;0;0;0;0;0;1;1;1;2;0;0;3;0;0;2;0;0;1;0;0;2;0;0;2;0;0;2;0;0;3;0;0;0;3,55;111,52;107,86;3,66;3,13;110,84;107,77;3,06;6;3;18;4;6;5;15;5
NYK;0,573;106,9;103,0;3,79;7;16;3;3;2;9;0,533;0,573170731707317;0,5548780487804879;0,5331529093369418;0,4444444444444444;0,5254237288135594;27,5;1;0;1;1;0;0;2;0;0;2;0;1;1;0;0;3;0;0;1;0;0;1;0;1;2;0;0;0;0;1;2;0;0;2;0;1;1;0;1;2;1;2;2;0;1;3;0;1;2;0;1;2;3,84;107,44;103,7;3,74;3,79;107,73;104,21;3,52;3;13;8;3;3;12;8;3
NJN;0,549;110,0;108,9;1,27;8;12;7;8;1;6;0,545;0,5487804878048781;0,5487804878048781;0,5446985446985447;0,45454545454545453;0,47368421052631576;26,083333333333332;1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;2;0;0;1;0;1;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1,1;106,46;105,44;1,02;1,27;106,95;105,92;1,02;9;16;12;8;8;15;12;8
UTA;0,549;115,0;113,8;0,81;9;5;17;9;3;3;0,407;0,5487804878048781;0,40707964601769914;0,40707964601769914;0,45454545454545453;0,45454545454545453;26,5;2;1;1;2;0;1;1;0;0;0;0;1;2;0;0;1;1;1;1;1;1;2;1;1;2;0;0;1;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;0;1;2;0;1;2;1;2;3;1,13;109,11;108,14;0,96;0,81;108,38;107,89;0,49;8;10;19;9;9;11;18;9
DAL;0,524;110,4;110,0;0,15;10;11;10;11;4;16;0,507;0,524390243902439;0,3780487804878049;0,506859756097561;0,4;0,4537037037037037;24,272727272727273;1;1;1;2;0;1;1;0;0;1;1;1;2;0;0;0;0;0;2;0;1;1;0;1;2;0;0;0;0;0;0;0;1;1;0;1;2;0;0;2;0;0;2;0;1;2;0;1;2;1;1;1;0,43;110,4;109,98;0,41;0,15;109,81;109,83;-0,02;11;7;27;11;11;7;27;11
SEA;0,512;108,1;108,3;-0,34;11;14;6;12;10;12;0,543;0,5121951219512195;0,5601503759398496;0,5426195426195426;0,5362318840579711;0,5362318840579711;27,181818181818183;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;1;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;2;0;0;2;0;0;0;-0,17;108,33;108,49;-0,16;-0,34;107,68;108,18;-0,5;12;11;23;12;12;13;22;12
PHO;0,5;111,0;110,1;0,65;12;8;11;10;11;11;0,542;0,5;0,5421286031042128;0,5421286031042128;0,47435897435897434;0,47435897435897434;27,25;1;0;0;1;0;0;1;0;0;2;0;0;1;1;2;2;0;0;3;1;2;2;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0,89;109,17;108,45;0,72;0,65;108,52;108,2;0,32;10;9;22;10;10;10;23;10
ATL;0,488;101,5;102,8;-1,08;13;22;2;14;2;2;0,471;0,4878048780487805;0,47058823529411764;0,47058823529411764;0,4;0,4;26,916666666666668;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;1;3;0;0;2;0;0;1;0;0;2;1;1;1;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;-1,29;106,13;107,32;-1,19;-1,08;106,65;107,81;-1,16;15;17;14;15;14;16;16;14
