Season,Tm,Playoff Wins,Wins Needed
2024,Boston Celtics,16,16
2024,Dallas Mavericks,13,16
2024,Minnesota Timberwolves,9,16
2024,Indiana Pacers,8,16
2024,New York Knicks,7,16
2024,Denver Nuggets,7,16
2024,Oklahoma City Thunder,6,16
2024,Cleveland Cavaliers,5,16
2024,Orlando Magic,3,16
2024,Milwaukee Bucks,2,16
2024,Los Angeles Clippers,2,16
2024,Philadelphia 76ers,2,16
2024,Miami Heat,1,16
2024,Los Angeles Lakers,1,16
2024,New Orleans Pelicans,0,16
2024,Phoenix Suns,0,16
2023,Denver Nuggets,16,16
2023,Miami Heat,13,16
2023,Boston Celtics,11,16
2023,Los Angeles Lakers,8,16
2023,Philadelphia 76ers,7,16
2023,New York Knicks,6,16
2023,Golden State Warriors,6,16
2023,Phoenix Suns,6,16
2023,Sacramento Kings,3,16
2023,Memphis Grizzlies,2,16
2023,Atlanta Hawks,2,16
2023,Cleveland Cavaliers,1,16
2023,Minnesota Timberwolves,1,16
2023,Los Angeles Clippers,1,16
2023,Milwaukee Bucks,1,16
2023,Brooklyn Nets,0,16
2022,Golden State Warriors,16,16
2022,Boston Celtics,14,16
2022,Miami Heat,11,16
2022,Dallas Mavericks,9,16
2022,Milwaukee Bucks,7,16
2022,Phoenix Suns,7,16
2022,Memphis Grizzlies,6,16
2022,Philadelphia 76ers,6,16
2022,Toronto Raptors,2,16
2022,Utah Jazz,2,16
2022,Minnesota Timberwolves,2,16
2022,New Orleans Pelicans,2,16
2022,Atlanta Hawks,1,16
2022,Chicago Bulls,1,16
2022,Denver Nuggets,1,16
2022,Brooklyn Nets,0,16
2021,Milwaukee Bucks,16,16
2021,Phoenix Suns,14,16
2021,Los Angeles Clippers,10,16
2021,Atlanta Hawks,10,16
2021,Philadelphia 76ers,7,16
2021,Brooklyn Nets,7,16
2021,Utah Jazz,6,16
2021,Denver Nuggets,4,16
2021,Dallas Mavericks,3,16
2021,Portland Trail Blazers,2,16
