Player,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Stephen Curry,43.006362,45.780966,48.070014,51.915615,55.761216,59.606817,-1.0,-1.0,-1.0,167.283648
Chris Paul,41.358814,30.8,28.4,30.8,30.0,-1.0,-1.0,-1.0,-1.0,15.8
Russell Westbrook,41.358814,44.211146,47.080179,3.835738,4.027525,-1.0,-1.0,-1.0,-1.0,7.863263
James Harden,41.25492,44.31084,33.0,35.64,-1.0,-1.0,-1.0,-1.0,-1.0,35.64
John Wall,41.25492,44.31084,47.34576,6.80295,-1.0,-1.0,-1.0,-1.0,-1.0,6.80295
Kevin Durant,40.10895,42.0189,44.119845,47.649433,51.179021,54.708609,-1.0,-1.0,-1.0,153.537063
LeBron James,39.219566,41.180544,44.474988,47.60735,51.415938,-1.0,-1.0,-1.0,-1.0,47.60735
Paul George,35.450412,39.34497,42.492492,45.640084,48.787676,-1.0,-1.0,-1.0,-1.0,45.640084
Klay Thompson,35.36136,37.98072,40.60008,43.21944,-1.0,-1.0,-1.0,-1.0,-1.0,43.21944
Mike Conley,34.502132,21.0,22.68,24.36,-1.0,-1.0,-1.0,-1.0,-1.0,14.32
Kemba Walker,34.3791,34.967442,37.281261,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kawhi Leonard,34.3791,39.3449,42.492492,45.640084,48.787676,-1.0,-1.0,-1.0,-1.0,45.640084
Jimmy Butler,34.3791,36.0162,37.6533,45.18396,48.798677,52.413394,-1.0,-1.0,-1.0,93.982637
Tobias Harris,34.35885,35.99595,37.63305,39.27015,-1.0,-1.0,-1.0,-1.0,-1.0,39.27015
Blake Griffin,33.900241,32.405817,2.905851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kyrie Irving,33.72285,35.3287,38.917057,37.037037,40.0,42.962963,-1.0,-1.0,-1.0,77.037037
Khris Middleton,33.051724,35.5,37.984276,29.320988,31.666667,34.012345,-1.0,-1.0,-1.0,60.987655
Anthony Davis,32.742,35.36136,37.98072,40.60008,43.21944,-1.0,-1.0,-1.0,-1.0,40.60008
Damian Lillard,31.626953,39.3449,42.492492,45.640084,48.787676,58.545211,63.228828,-1.0,-1.0,152.972971
Kevin Love,31.258256,31.258256,30.556968,3.835738,4.027525,-1.0,-1.0,-1.0,-1.0,3.835738
Ben Simmons,30.5592,33.003936,35.448672,37.893408,40.338144,-1.0,-1.0,-1.0,-1.0,78.231552
Pascal Siakam,30.5592,33.003936,35.448672,37.893408,-1.0,-1.0,-1.0,-1.0,-1.0,37.893408
Kyle Lowry,30.5,26.984128,28.333334,29.68254,-1.0,-1.0,-1.0,-1.0,-1.0,29.68254
Steven Adams,29.592695,17.073171,17.926829,12.6,12.6,-1.0,-1.0,-1.0,-1.0,25.2
Nikola Jokic,29.54201,31.044906,33.047803,47.60735,51.415938,55.224526,59.033114,62.841702,-1.0,213.280928
Andrew Wiggins,29.54201,31.57939,33.61677,24.330357,26.276786,28.223215,30.169644,-1.0,-1.0,78.830358
